"id";"name";"abbreviated_name";"is_abbreviated";"position";"is_department";"year";"ministry";"person_id"
8371;"Anders Martin Madsen";"A. M. Madsen";FALSE;"kontorchef";FALSE;1873;"finansministeriet";237
8370;"Jens Carl Dahl";"J. C. Dahl";FALSE;"fuldmægtig";FALSE;1873;"finansministeriet";316
8369;"Jens Peter Boygelund";"J. P. Boygelund";FALSE;"kontorchef";FALSE;1873;"finansministeriet";268
6771;"O. Stephensen";"O. Stephensen";TRUE;"departementschef";TRUE;1873;"justitsministeriet";62
8367;"Carl Valerius Jensen Flindt";"C. V. J. Flindt";FALSE;"fuldmægtig";FALSE;1873;"finansministeriet";224
8366;"G. H. Monrad";"G. H. Monrad";TRUE;"departementschef";FALSE;1873;"finansministeriet";171
8365;"Carl Theodor Bruun";"C. T. Bruun";FALSE;"kontorchef";FALSE;1873;"finansministeriet";163
8364;"Falck Frederik Carl Heilbuth";"F. F. C. Heilbuth";FALSE;"fuldmægtig";FALSE;1873;"finansministeriet";352
8363;"Frederik Ferdinand Nielsen";"F. F. Nielsen";FALSE;"fuldmægtig";FALSE;1873;"finansministeriet";269
8362;"I. Jetsmark";"I. Jetsmark";TRUE;"departementschef";FALSE;1873;"finansministeriet";289
8361;"Hans Henrik Thomsen";"H. H. Thomsen";FALSE;"kontorchef";FALSE;1873;"finansministeriet";313
8360;"Carl Jacob Hertel Riise";"C. J. H. Riise";FALSE;"fuldmægtig";FALSE;1873;"finansministeriet";321
8359;"Johan Christian Valeur Fritz";"J. C. V. Fritz";FALSE;"fuldmægtig";FALSE;1873;"finansministeriet";320
8358;"Lauritz Christian Bentzen";"L. C. Bentzen";FALSE;"kontorchef";FALSE;1873;"finansministeriet";319
8357;"Christian Frederik Koesoed";"C. F. Koesoed";FALSE;"fuldmægtig";FALSE;1873;"finansministeriet";318
8356;"Ditlev Georg Ludvig Lindberg";"D. G. L. Lindberg";FALSE;"fuldmægtig";FALSE;1873;"finansministeriet";317
8355;"C. F. Krabbe";"C. F. Krabbe";TRUE;"kontorchef";FALSE;1873;"finansministeriet";295
8354;"Krigsassessor Christian Frederik Gede";"K. C. F. Gede";FALSE;"fuldmægtig";FALSE;1873;"finansministeriet";294
8353;"Thorolf Valdemar Boesen";"T. V. Boesen";FALSE;"fuldmægtig";FALSE;1873;"finansministeriet";296
16;"A. C. P. Linde";"A. C. P. Linde";TRUE;"departementschef";TRUE;1873;"kultusministeriet";91
15;"I. A. F. de Jonquières";"I. A. F. d. Jonquières";TRUE;"kontorchef";TRUE;1873;"kultusministeriet";94
14;"Jens Stephan Vilhelm Werläufst";"J. S. V. Werläufst";FALSE;"fuldmægtig";TRUE;1873;"kultusministeriet";278
13;"Ove Carl Muus";"O. C. Muus";FALSE;"fuldmægtig";TRUE;1873;"kultusministeriet";353
12;"F. C. Bruun";"F. C. Bruun";TRUE;"kontorchef";TRUE;1873;"kultusministeriet";88
11;"Henrik Valdemar Skibsted";"H. V. Skibsted";FALSE;"fuldmægtig";TRUE;1873;"kultusministeriet";327
10;"C. F. Schwartzkopf";"C. F. Schwartzkopf";TRUE;"kontorchef";TRUE;1873;"kultusministeriet";93
9;"Adam Vilhelm Hastrup";"A. V. Hastrup";FALSE;"fuldmægtig";TRUE;1873;"kultusministeriet";276
8372;"Fritz Marcus Toste";"F. M. Toste";FALSE;"fuldmægtig";FALSE;1873;"finansministeriet";347
8373;"Harald Theodor Neumann";"H. T. Neumann";FALSE;"fuldmægtig";FALSE;1873;"finansministeriet";322
8368;"Alfred Helge Holstein";"A. H. Holstein";FALSE;"fuldmægtig";FALSE;1873;"finansministeriet";169
1679;"Johan Laurits Schon";"J. L. Schon";FALSE;"kontorchef";TRUE;1873;"indenrigsministeriet";354
1676;"Peter Georg Tost Birk";"P. G. T. Birk";FALSE;"kontorchef";TRUE;1873;"indenrigsministeriet";337
